Bug-ID ,Project ,Classification,Summary,Link,Enviroment ,
146727,z_Archived,Configuration issue,Turn off the Execution framework debug,https://bugs.eclipse.org/bugs/show_bug.cgi?id=146727,ECLIPSE,
177026,z_Archived,Configuration issue,NLS33:plugins referenced by org.eclipse.wst.rdb_userdoc.feature is missing,https://bugs.eclipse.org/bugs/show_bug.cgi?id=177026,ECLIPSE,
183282,z_Archived,Configuration issue,bugs in tptp_decodeBase64(),https://bugs.eclipse.org/bugs/show_bug.cgi?id=183282,ECLIPSE,
52505,z_Archived,Configuration issue,org.eclipse.hyades.test.* plugins missing in WSWB 3.0,52505,ECLIPSE,
71473,z_Archived,Configuration issue,EMF Java Example installed causes problem,71473,ECLIPSE,
78980,z_Archived,Configuration issue,coredump while parsing optHeap on ThreeTierQueues applet,78980,ECLIPSE,
78981,z_Archived,Configuration issue,coredump while parsing optHeap on ThreeTierQueues applet,78981,ECLIPSE,
83579,z_Archived,Configuration issue,Version mismatch in org.eclipse.hyades.models.hierarchy feature and plugin,83579,ECLIPSE,
85042,z_Archived,Configuration issue,Trace loaders don't work in the 4.0 environment,85042,ECLIPSE,
109800,z_Archived,Configuration issue,[Platform Specific] The automation framework has issues on non-Windows platforms,109800,ECLIPSE,
110369,z_Archived,Configuration issue,libpiAgent.so missing from z/OS Agent Controller zip due to build error,110369,ECLIPSE,
110882,z_Archived,Configuration issue,zOS: manual build of the piAgent/RAC fails - initial c89 compile exits with code 137,110882,ECLIPSE,
111230,z_Archived,Configuration issue,Agent Controller in 4.0.1 configuration incorrect due to plugin jar name change,111230,ECLIPSE,
112221,z_Archived,Configuration issue,Broken link in on-line navigation tree,112221,ECLIPSE,
113234,z_Archived,Configuration issue,Statistical Agents do not work through the IAC,113234,ECLIPSE,
113601,z_Archived,Configuration issue,Attachment viewing in Test Log Viewer doesn't work for .JPG files,113601,ECLIPSE,
113964,z_Archived,Configuration issue,Update legal doc for log4J,113964,ECLIPSE,
114263,z_Archived,Configuration issue,(New AC) Default setting for TPTP_AC_HOME in serviceconfg.xml is bad,114263,ECLIPSE,
114549,z_Archived,Configuration issue,[Webdoc] (README) Cannot use IAC in multiple instances of the Eclipse workbench,114549,ECLIPSE,
114673,z_Archived,Configuration issue,Remote Log Import with Filter does not work due to change in File Transfer behaviour,114673,ECLIPSE,
56388,z_Archived,Configuration issue,Restore the UML2SD log interactions view as in AC1.2,56388,ECLIPSE,
57051,z_Archived,Configuration issue,placeholder for the UML2SD view,57051,ECLIPSE,
58288,z_Archived,Configuration issue,VE hangs; times out; then throws NPE doing pause/reload,58288,ECLIPSE,
95241,z_Archived,Configuration issue,"(Plat) RAC plugin system has version number dependency in ""requires""",95241,ECLIPSE,
104003,z_Archived,Configuration issue,Should remove some plugin dependencies from plugin.xml,104003,ECLIPSE,
103244,z_Archived,Configuration issue,(Provisional) Remote console feature not working if target OS is Linux.,103244,ECLIPSE,
88823,z_Archived,Configuration issue,Cannot add JFace support to project - NPE,88823,ECLIPSE,
90544,z_Archived,Configuration issue,VE errors on M6,90544,ECLIPSE,
97582,Bugzilla,Configuration issue,Broken link to download Chart::Base module,97582,MOZILLA,
159681,Bugzilla,Configuration issue,review: usedependencies must die; Patch v.2,159681,MOZILLA,
161624,Bugzilla,Configuration issue,review: Problem with the regex in checksetup.pl to find dependancies.; v2,161624,MOZILLA,
164502,Bugzilla,Configuration issue,review: Importxml will fail if versioncache needs update; Fix - needed on 2.16 as well as 2.17,164502,MOZILLA,
164505,Bugzilla,Configuration issue,review: Importxml will fail if versioncache needs update; Fix - needed on 2.16 as well as 2.17,164505,MOZILLA,
164551,Bugzilla,Configuration issue,review: run checksetup.pl non-interactively (for use with cron jobs on test installs); Optionally non-interactive checksetup.pl,164551,MOZILLA,
165730,Bugzilla,Configuration issue,review: If multiple cookies exist; the least significant is assigned.; Fix for both 121419 and 165685,165730,MOZILLA,
165928,Bugzilla,Configuration issue,review: run checksetup.pl non-interactively (for use with cron jobs on test installs); v2,165928,MOZILLA,
169533,Bugzilla,Configuration issue,review: Linkify script to use GetBugLink on texts provided by user; Patch v.2,169533,MOZILLA,
169853,Bugzilla,Configuration issue,review: Templatise all calls to DisplayError; Patch v.1,169853,MOZILLA,
173945,Bugzilla,Configuration issue,review: Start using CGI.pm; v3,173945,MOZILLA,
175125,Bugzilla,Configuration issue,review: Fix site-navigation.html.tmpl to link to flags CGI and not attachments one; Patch v.1,175125,MOZILLA,
175431,Bugzilla,Configuration issue,review: Start using CGI.pm; v5.1,175431,MOZILLA,
282505,Bugzilla,Configuration issue,perl 5.6: config.cgi dies when it tries to use Bugzilla::DB,https://bugzilla.mozilla.org/show_bug.cgi?id=282505,MOZILLA,
3413,Core,Configuration issue,Trailing slash,3413,MOZILLA,
14928,Core,Configuration issue,[DOGFOOD] [PORKJOCKEY]URL Dispatching Part II,14928,MOZILLA,
15242,Core,Configuration issue,Remove #ifndef NECKO from tree,15242,MOZILLA,
15294,Core,Configuration issue,replace nsIIOService constructors with CreateInstance,15294,MOZILLA,
16276,Core,Configuration issue,url bar does not update,16276,MOZILLA,
16279,Core,Configuration issue,Initial installation of M10 on OpenVMS fails in LIBGTK,16279,MOZILLA,
17707,Core,Configuration issue,[DOGFOOD][IME] CJK input disabled in location field,17707,MOZILLA,
18432,Core,Configuration issue,figure out what resource: URLs should really be,18432,MOZILLA,
19306,Core,Configuration issue,[Outdated plug-in] Sherlock plug-in for Google is outdated,19306,MOZILLA,
37778,Core,Configuration issue,browser doesn't handle simple response of HTTP protocol,37778,MOZILLA,
106586,Core,Configuration issue,Inappropriate source into the plaintext copy.,106586,MOZILLA,
118008,Core,Configuration issue,Multi-paragraph blockquotes do not render correctly,118008,MOZILLA,
183289,Core,Configuration issue,[Plug-in for ActiveX] Switched parameter in XPconnect.cpp / xpc_GetCLSIDForType / keyMimeType.QueryValue,183289,MOZILLA,
19321,Core,Configuration issue,implement RDF resource pseudo-aggregation,19321,MOZILLA,
19432,Core,Configuration issue,remove STREAM_CONVERTER_HACK from file channel,19432,MOZILLA,
39405,Core,Configuration issue,use of #ifndef XP_MAC is not needed in wallet.cpp,39405,MOZILLA,
47881,Core,Configuration issue,triple static link of dbm code.,47881,MOZILLA,
415426,Core ,Configuration issue,trace-malloc broken on fxdbug-win32-tbox (due to Vista SDK?),https://bugzilla.mozilla.org/show_bug.cgi?id=415426,MOZILLA,
557060,Core ,Configuration issue,"[Windows] After bug 551254, Firefox/SeaMonkey fails to build or run with error like ""?",https://bugzilla.mozilla.org/show_bug.cgi?id=557060,MOZILLA,
869868,Core ,Configuration issue,Cannot build old Windows SDKs since Bug 830347,https://bugzilla.mozilla.org/show_bug.cgi?id=869868,MOZILLA,
932168,Core ,Configuration issue,Bug 906072 completely broke IME context management when password field gets focus,https://bugzilla.mozilla.org/show_bug.cgi?id=932168,MOZILLA,
933680,Core ,Configuration issue,browser_pluginCrashCommentAndURL.js hangs ubuntu ec2 slaves in conjunction with browser_bug410900.js,https://bugzilla.mozilla.org/show_bug.cgi?id=933680,MOZILLA,
614228,Core ,Configuration issue,[SeaMonkey] Windows bustage in nsUrlWidget after bug 581596 landing,https://bugzilla.mozilla.org/show_bug.cgi?id=614228,MOZILLA,
7788,Core Graveyard,Configuration issue,Core dump on http://www.vecernji-list.hr/ page load,7788,MOZILLA,
72707,Core Graveyard,Configuration issue,alfred chrome out of date--won't run on moz0.8.1,72707,MOZILLA,
702707,Firefox,Configuration issue,Web console is buggy in window mode,https://bugzilla.mozilla.org/show_bug.cgi?id=702707,MOZILLA,
787564,Firefox,Configuration issue,Today repository cause a black display on SGS2/Otoro due to regression from bug 778079,https://bugzilla.mozilla.org/show_bug.cgi?id=787564,MOZILLA,
445490,Graveyard,Configuration issue,bugzilla searches timing out (loading bugs directly works fine),https://bugzilla.mozilla.org/show_bug.cgi?id=445490,MOZILLA,
626310,MailNews Core,Configuration issue,Port |Bug 600435 - XULRunner universal for i386/x64_64 fails to unify nspr-config| to comm-central,https://bugzilla.mozilla.org/show_bug.cgi?id=626310,MOZILLA,
653865,MailNews Core,Configuration issue,Trunk builds broken by bug 556214: undeclared 'MonitorAutoEnter',https://bugzilla.mozilla.org/show_bug.cgi?id=653865,MOZILLA,
926043,MailNews Core,Configuration issue,Port build system changes from Bug 585016 and Bug 924615 to comm-central,https://bugzilla.mozilla.org/show_bug.cgi?id=926043,MOZILLA,
1046638,MailNews Core,Configuration issue,"Port |Bug 1044162 - make install locations for EXTRA_{PP_,}JS_MODULES better| to comm-central",https://bugzilla.mozilla.org/show_bug.cgi?id=1046638,MOZILLA,
849612,MailNews Core,Configuration issue,Fix build problems caused by Bug 847195 [error: nsIDOMNamedNodeMap.h: No such file or directory],https://bugzilla.mozilla.org/show_bug.cgi?id=849612,MOZILLA,
150670,Mozilla,Configuration issue,no response from email to ftp-stage@mozilla.org for releases,150670,MOZILLA,
167090,Mozilla,Configuration issue,Old link to Bugzilla Helper,167090,MOZILLA,
131716,Mozilla Localizations,Configuration issue,Alt-Start => Alt-Home (in Ga naar),131716,MOZILLA,
115,NSPR,Configuration issue,Navigator doesn't build,115,MOZILLA,
263,NSPR,Configuration issue,Mozilla does not compile on NetBSD/arm32,263,MOZILLA,
382,NSPR,Configuration issue,No not shared library support in Makefiles,382,MOZILLA,
840,NSPR,Configuration issue,libplds21.so: can't open file: errno=2,840,MOZILLA,
884,NSPR,Configuration issue,BUILD: messages about OSF in Linux build,884,MOZILLA,
2190,NSPR,Configuration issue,[PP] NSPR building incorrectly on FreeBSD 3.0,2190,MOZILLA,
2248,NSPR,Configuration issue,PR_ImportFile; etc. should initialize NSPR implicitly.,2248,MOZILLA,
2042,SeaMonkey,Configuration issue,Shared library suffix incorrectly assumed to be .so in several places,2042,MOZILLA,
14562,SeaMonkey,Configuration issue,minor tweak to Makefile.in for editor/txmgr/src and editor/txtsvc/src,14562,MOZILLA,
33934,SeaMonkey,Configuration issue,JA:PR2 Bargain America link incorrect in sidebar,33934,MOZILLA,
35596,SeaMonkey,Configuration issue,DE:PR1 investorworld link not working,35596,MOZILLA,
37953,SeaMonkey,Configuration issue,DE:Customize link for InvestorWorld should be disabled,37953,MOZILLA,
123580,SeaMonkey,Configuration issue,[FIX]about: protocol directory needs clean up,123580,MOZILLA,
195060,SeaMonkey,Configuration issue,Nightly 1.3 are debug builds (file size ~ 40MB) (missing MSVCRTD.DLL),https://Bugzilla.mozilla.org/show_bug.cgi?id=195060,MOZILLA,
212746,SeaMonkey,Configuration issue,1.4 won't launch,212746,MOZILLA,
245826,SeaMonkey,Configuration issue,Checkin for Bug 240552 broke clobber builds and builds w/ disable-cookie,https://Bugzilla.mozilla.org/show_bug.cgi?id=245826,MOZILLA,
338880,SeaMonkey,Configuration issue,SuiteRunner doesn't compile with --enable-debug,https://bugzilla.mozilla.org/show_bug.cgi?id=338880,MOZILLA,
589135,SeaMonkey,Configuration issue,Recover from bug 552703 test outage after upgrading buildbotcustom,https://bugzilla.mozilla.org/show_bug.cgi?id=589135,MOZILLA,
830413,SeaMonkey,Configuration issue,Port |Bug 827303 - Firefox core and crypto services components assume services/sync is built|,https://bugzilla.mozilla.org/show_bug.cgi?id=830413,MOZILLA,
837570,SeaMonkey,Configuration issue,Fix OSX64 buildage from |Bug 780561 - (new-packager) Overhaul the packager|,https://bugzilla.mozilla.org/show_bug.cgi?id=837570,MOZILLA,
42384,SeaMonkey,Configuration issue,nsFilePicker.cpp deallocates buffer incorrectly,42384,MOZILLA,
49318,SeaMonkey,Configuration issue,DE:PR2 Location Search w/o Search entry,49318,MOZILLA,
72888,SeaMonkey,Configuration issue,567920 byte leak on Linux,72888,MOZILLA,
126157,Tech Evangelism Graveyard,Configuration issue,icomputer.be - has some text truncated,126157,MOZILLA,
923865,Testopia,Configuration issue,Testopia is not compatible with Bugzilla 4.5 due to a DB schema change,https://bugzilla.mozilla.org/show_bug.cgi?id=923865,MOZILLA,
511801,Thunderbird,Configuration issue,[Thunderbird] mozilla-central 'Linux comm-central build' do not compile after bug 511326 landing,https://bugzilla.mozilla.org/show_bug.cgi?id=511801,MOZILLA,
927899,Thunderbird,Configuration issue,OSX bustage from bug 895047,https://bugzilla.mozilla.org/show_bug.cgi?id=927899,MOZILLA,
965255,Thunderbird,Configuration issue,OSX build bustage on comm-central from bug 941409 (layout/xul/nsMenuFrame.cpp:682:64: error: no member named 'anonid' in 'nsGkAtoms'),https://bugzilla.mozilla.org/show_bug.cgi?id=965255,MOZILLA,
1104835,Thunderbird,Configuration issue,Port bug 1101170 (Move Linux desktop sandboxing code into plugin-container) to fix bustage: Missing file(s): bin/libmozsandbox.so,https://bugzilla.mozilla.org/show_bug.cgi?id=1104835,MOZILLA,
27162,Ant,Database-related issue,"SQL task doesn't work with Informix IDS 9,2",27162,APACHE ,35
142683,Community,Database-related issue,Search result of Bugzilla isn't correct,https://bugs.eclipse.org/bugs/show_bug.cgi?id=142683,ECLIPSE,
200131,Data Too,Database-related issue,Selection section(selection radio/selection table) of ConnectionFilterPropertyPage needs to be disabled for database connection profile objects,200131,ECLIPSE,
98215,z_Archiv,Database-related issue,need a similar allowQuotedDML() api on database,98215,ECLIPSE,
225063,BIRT,Database-related issue,Failed to run the sql if the database is disconnect,225063,ECLIPSE,
115810,z_Archiv,Database-related issue,a '-' in de database name crashes the connection,115810,ECLIPSE,
301849,Communit,Database-related issue,[app.class.php] Patch to add Marketplace Database Connections,301849,ECLIPSE,
136444,z_Archiv,Database-related issue,An issue with Action in Symptom Database Editor,136444,ECLIPSE,
362144,z_Archiv,Database-related issue,EDT Supports more database vendors,362144,ECLIPSE,
152621,z_Archiv,Database-related issue,Encoding error while export Symptom Database that contains GB18030 chars,152621,ECLIPSE,
381688,Scout,Database-related issue,RT: Database Cursors are not closed when using Batch mode.,381688,ECLIPSE,
67636,z_Archiv,Database-related issue,Symptom Database preference page should be under Profiling and logging.,67636,ECLIPSE,
136453,z_Archiv,Database-related issue,An Issue with Localized Message in Symptom Database editor,136453,ECLIPSE,
150374,Data Too,Database-related issue,Set Profile for Editor drop down Database Name selection does not work,150374,ECLIPSE,
173336,Data Too,Database-related issue,Data Source Explorer view - properties on Database root has blank dialog,173336,ECLIPSE,
358854,z_Archiv,Database-related issue,SQL database binding resources should not let user create duplicate name,358854,ECLIPSE,
364114,z_Archiv,Database-related issue,Error message of create records from sql database does not clear.,364114,ECLIPSE,
472014,EPP,Database-related issue,Update of problems database fails,472014,ECLIPSE,
101678,z_Archiv,Database-related issue,Test Connection doesn't give any feedback if the wrong database type is selected,101678,ECLIPSE,
157945,Bugzilla,Database-related issue,review: Remembered query options need regrouping; Patch v.1,157945,MOZILLA,
158203,Bugzilla,Database-related issue,review: Remembered query options need regrouping; Patch v.2,158203,MOZILLA,
158399,Bugzilla,Database-related issue,review: Remembered query options need regrouping; Patch v.3,158399,MOZILLA,
158601,Bugzilla,Database-related issue,review: Move the quip list into the database; patch; atttempt 3,158601,MOZILLA,
158681,Bugzilla,Database-related issue,review: Remembered query options need regrouping; Patch v.3,158681,MOZILLA,
167701,Bugzilla,Database-related issue,review: Query - multiple-select product (and probably component) broken; Patch,167701,MOZILLA,
177895,Bugzilla,Database-related issue,review: Query for CC/longdesc/OR takes long time; Revised with readability improvements,177895,MOZILLA,
261993,Bugzilla,Database-related issue,rampant uninitialized value error in log with fix for bug 255512,https://bugzilla.mozilla.org/show_bug.cgi?id=261993,MOZILLA,
754740,Calendar,Database-related issue,Startup failure since Bug 589032 - Error: Error setting up timezone database: TypeError: Components.classes[mozilla.org/storage/statement-wrapper;1'] is undefined,https://bugzilla.mozilla.org/show_bug.cgi?id=754740,MOZILLA,
12243,Core,Database-related issue,[IME][IME-Commit][IME-HighLight]DB text input always appended regardless of cursor position,12243,MOZILLA,
45907,Core,Database-related issue,Is DBM needed if the DiskCache is not used?,45907,MOZILLA,
500527,Graveyard,Database-related issue,Run SQL from bug 495740 on support-stage for testing,https://bugzilla.mozilla.org/show_bug.cgi?id=500527,MOZILLA,
580479,Graveyard,Database-related issue,bugzilla searches take forever (or never complete),https://bugzilla.mozilla.org/show_bug.cgi?id=580479,MOZILLA,
COCOON-36,Cocoon,Database-related issue ,db-authenticator wont reuse pool connections,https://issues.apache.org/jira/browse/COCOON-36?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,
STR-153,Struts,Database-related issue ,DatabaseServlet reads from getResourceStream and writes to getRealPath,https://issues.apache.org/jira/browse/STR-153?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,
STR-26,Struts,Database-related issue ,Database connection stops action servlet from loading,https://issues.apache.org/jira/browse/STR-26?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20AND%20text%20~%20%22test%22%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,
40327,Tomcat Connectors,Functional issue,Logging level now defaults to debug - crashed server,40327,APACHE ,471
30847,Fop - Now in Jira,Functional issue,[patch] Block.java loop terminator fails due to a bug,https://bz.apache.org/bugzilla/show_bug.cgi?id=30847,APACHE ,
FOP-17,FOP,Functional issue,case matching failure in <?xml ... ?> tag,https://issues.apache.org/jira/browse/FOP-17?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,
XALANC-10,XalanC,Functional issue,testXSLT linked with hard coded path to xerces library,https://issues.apache.org/jira/browse/XALANC-10?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,
SVN-392,Subversion,Functional issue,error messages don't show the error name,https://issues.apache.org/jira/browse/SVN-392?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,
STR-267,Struts ,Functional issue,Cannot find ActionMappings,https://issues.apache.org/jira/browse/STR-267?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,
XERCESC-233,Xerces-C++,Functional issue,Parser do not throw exceptions,https://issues.apache.org/jira/browse/XERCESC-233?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,
BATIK-163,Batik,Functional issue,Exception when running browser in binary distribution,https://issues.apache.org/jira/browse/BATIK-163?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,
STR-336,Struts ,Functional issue,MultiboxTag.doAfterBody() always aborts page rendering,https://issues.apache.org/jira/browse/STR-336?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,
XERCESC-162,Xerces-C++,Functional issue,getLength error,https://issues.apache.org/jira/browse/XERCESC-162?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,
XALANC-37,XalanC,Functional issue,NULL sysId causes exception when using a DOM_Document as XSLTInputSource,https://issues.apache.org/jira/browse/XALANC-37?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,
STR-199,Struts,Functional issue,javax.servlet.jsp.JspException: Cannot find message resources under key org.apache.struts.action.MESSAGE,https://issues.apache.org/jira/browse/STR-199?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,
COCOON-55,Cocoon,Functional issue,accessing localhost:8080/cocoon/ gives ComponentException,https://issues.apache.org/jira/browse/COCOON-55?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20AND%20text%20~%20%22security%22%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,
AXIS-797,Axis,Functional issue,Calendar replacing Date is wsdl transformation,https://issues.apache.org/jira/browse/AXIS-797?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20AND%20text%20~%20%22interface%22%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,
XMLBEANS-111,XMLBeans,Functional issue,Upper case conversion of special characters causes javac error,https://issues.apache.org/jira/browse/XMLBEANS-111?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20AND%20text%20~%20%22interface%22%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,
EMAIL-6,Commons Email,Functional issue,[email] Errors when sending MultiPartEmail with another email as an attachment,https://issues.apache.org/jira/browse/EMAIL-6?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20AND%20text%20~%20%22interface%22%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,
AXIS-1549,Axis,Functional issue,Exception:: java.lang.Exception: FIXME,https://issues.apache.org/jira/browse/AXIS-1549?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20AND%20text%20~%20%22interface%22%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,
JS2-130,Jetspeed 2,Functional issue,ServletContextProviderImpl.java:36: cannot resolve symbol,https://issues.apache.org/jira/browse/JS2-130?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20AND%20text%20~%20%22interface%22%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,
HTTPCLIENT-210,HttpComponents HttpClient,Functional issue,Exception handling in HttpClient requires redesign,https://issues.apache.org/jira/browse/HTTPCLIENT-210?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20AND%20text%20~%20%22interface%22%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,
XALANC-19,XalanC,Functional issue,Xalan C crashes with this style sheet,https://issues.apache.org/jira/browse/XALANC-19?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,
1027,Fop - Now in Jira,Functional issue,Bugs in TTFReader,https://bz.apache.org/bugzilla/show_bug.cgi?id=1027,APACHE ,
42476,Fop - Now in Jira,Functional issue,[PATCH] Bugfix for XMLReader: Support for other ImageReaders,https://bz.apache.org/bugzilla/show_bug.cgi?id=42476,APACHE ,
12132,Apache httpd-2,Functional issue,mod_rewrite Set-Cookie bug,https://bz.apache.org/bugzilla/show_bug.cgi?id=12132,APACHE ,
XERCESC-4,Xerces-C++,Functional issue,Unable to create document on repeating basis,https://issues.apache.org/jira/browse/XERCESC-4?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,
FOP-42,FOP,Functional issue,org.apache.fop.apps.CommandLineOptions#checkSettings() (0.18.1-DEV) throws NullPointerException,https://issues.apache.org/jira/browse/FOP-42?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,
STR-109,Struts,Functional issue,ImageTag bug in altKey attribute,https://issues.apache.org/jira/browse/STR-109?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,
COCOON-41,Cocoon,Functional issue,org.apache.cocoon.ProcessingException: Exception in Handler:java.util.NoSuchElementException when starting Cocoon,https://issues.apache.org/jira/browse/COCOON-41?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,
XERCESJ-42,Xerces2-J,Functional issue,"Error: DTD file not found if XML file name contains character such as ""%""",https://issues.apache.org/jira/browse/XERCESJ-42?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,
SVN-471,Subversion,Functional issue,"checking out a url ending in slash (""/"") makes lossy wc",https://issues.apache.org/jira/browse/SVN-471?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,
DIGESTER-54,Common Digester,Functional issue,no match with simple xml file,https://issues.apache.org/jira/browse/DIGESTER-54?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,
SOAP-12,SOAP,Functional issue,null pointer exception in TransportMessage.read(),https://issues.apache.org/jira/browse/SOAP-12?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,
STR-132,Struts,Functional issue,Error masked by nested try-catch blocks,https://issues.apache.org/jira/browse/STR-132?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,
STR-178,Struts,Functional issue,LinkTag/RequestUtils.computeParameters - no longer supports non-String bean properties as parameters,https://issues.apache.org/jira/browse/STR-178?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,
VELOCITY-18,Velocity,Functional issue,Assigning null value to variable appears to be a no-op,https://issues.apache.org/jira/browse/VELOCITY-18?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20AND%20text%20~%20%22TESTING%22%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,
